"FOURNISSEUR","RÉPARTITION","SERVICE","DIRECTION","NO DE DOSSIER","OBJET","NO DÉCISION","DATE SIGNATURE","MONTANT"
"GROUPE CENTCO INC.","100% AGGLO","SERVICE DE L'EAU","DIRECTION DE L'EAU POTABLE",1196935001,"ACCORDER DEUX CONTRATS AUX FIRMES SUIVANTES POUR L'EXÉCUTION DE TRAVAUX D'INSTALLATION DE DISPOSITIFS ANTI-REFOULEMENT ET COMPTEURS D'EAU DANS SIX USINES D'EAU POTABLE : CONTRAT 1 (ARTICLES  3 ET 5) À LE GROUPE CENTCO INC. POUR UNE SOMME MAXIMALE DE 962 340,75 $, TAXES INCLUSES; -  CONTRAT 2 (ARTICLES 1, 2, 4 ET 6) À PLOMBERIE NOËL FREDETTE INC. POUR UNE SOMME MAXIMALE DE 2 588 297,08 $, TAXES INCLUSES - APPEL D'OFFRES PUBLIC 10305 (2 SOUMISSIONNAIRES) - DÉPENSE TOTALE POUR LES TRAVAUX 4 640 765,40 $ INCLUANT LES CONTINGENCES, LES INCIDENCES ET LES TAXES.","CG19 0349",2019-08-23,"962341"
"PLOMBERIE NOËL FREDETTE INC.","100% AGGLO","SERVICE DE L'EAU","DIRECTION DE L'EAU POTABLE",1196935001,"ACCORDER DEUX CONTRATS AUX FIRMES SUIVANTES POUR L'EXÉCUTION DE TRAVAUX D'INSTALLATION DE DISPOSITIFS ANTI-REFOULEMENT ET COMPTEURS D'EAU DANS SIX USINES D'EAU POTABLE : CONTRAT 1 (ARTICLES  3 ET 5) À LE GROUPE CENTCO INC. POUR UNE SOMME MAXIMALE DE 962 340,75 $, TAXES INCLUSES; -  CONTRAT 2 (ARTICLES 1, 2, 4 ET 6) À PLOMBERIE NOËL FREDETTE INC. POUR UNE SOMME MAXIMALE DE 2 588 297,08 $, TAXES INCLUSES - APPEL D'OFFRES PUBLIC 10305 (2 SOUMISSIONNAIRES) - DÉPENSE TOTALE POUR LES TRAVAUX 4 640 765,40 $ INCLUANT LES CONTINGENCES, LES INCIDENCES ET LES TAXES.","CG19 0349",2019-08-23,"2588297"
"JMV ENVIRONNEMENT INC.","100% AGGLO","SERVICE DE L'ENVIRONNEMENT","DIRECTION DE LA GESTION DES MATIÈRES RÉSIDUELLES",1197075001,"AUTORISER L'UTILISATION D'UNE DÉROGATION ACCORDÉE PAR LE MINISTÈRE DES AFFAIRES MUNICIPALES ET DE L'HABITATION PERMETTANT L'OCTROI D'UN CONTRAT GRÉ À GRÉ AU DELÀ DE LA LIMITE DE 101 000$ ET D’UNE VALEUR MAXIMALE DE 365 000$ TAXES INCLUSES POUR LA GESTION ET LE TRANSPORT DE MATIÈRES RÉSIDUELLES DE L'ÉCOCENTRE LASALLE. CONTRAT OCTROYÉ À LA FIRME JMV ENVIRONNEMENT INC. POUR UN MONTANT TOTAL DE 365 000 TAXES INCLUSES. QUATRE (4) DEMANDES DE PRIX EFFECTUÉES, TROIS (3) SOUMMISSIONS REÇUES. ","CG19 0392",2019-08-26,"365000"
"GRAY MATTER SYSTEMS CANADA, INC.","100% AGGLO","SERVICE DE L'EAU","DIRECTION DE L'EAU POTABLE",1197092001,"ACCORDER, CONFORMÉMENT À LA LOI, UN CONTRAT DE GRÉ À GRÉ D'UNE DURÉE DE TROIS (3) ANS À GRAY MATTER SYSTEMS CANADA INC., FOURNISSEUR UNIQUE AU CANADA, POUR LA MISE À JOUR DES SUITES LOGICIELS DE GE/IP, POUR LA SOMME MAXIMALE DE 265 478,31 $ CAD, TAXES NON INCLUSES. (DÉPENSE TOTALE DE 305 233,69 $ CAD, TAXES INCLUSES). ","CG19 0363",2019-08-23,"305233"
"SERVICE D'ENTRETIEN ALPHANET INC.","5,84% VILLE 94,16% ARR","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","DIRECTION - OPTIMISATION_SÉCURITÉ ET PROPRETÉ",1197157002,"AUTORISER UNE DÉPENSE ADDITIONNELLE DE 1 341 973,81 $ (TAXES INCLUSES) AFIN D'EXERCER LA DEUXIÈME ANNÉE DE PROLONGATION  DES CONTRATS ACCORDÉS (CG18 0404) (7 SOUMISSIONNAIRES) AUX FIRMES ""SERVICE D'ENTRETIEN ALPHANET INC."", ""COFORCE INC."" ET ""AXIA SERVICES INC. (""LES SERVICES ADAPTÉS TRANSIT INC."") POUR LE SERVICE D'ENTRETIEN MÉNAGER DE DIVERS BÂTIMENTS DE LA VILLE DE MONTRÉAL, POUR UNE PÉRIODE DE 12 MOIS À COMPTER DU 1ER NOVEMBRE 2019, MAJORANT AINSI LE MONTANT TOTAL DU CONTRAT DE 1 118 382,63 $, TAXES INCLUSES À 2 460 356,44 $ TAXES INCLUSES","CG19 0346",2019-08-23,"341895"
"COFORCE INC.","5,84% VILLE 94,16% ARR","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","DIRECTION - OPTIMISATION_SÉCURITÉ ET PROPRETÉ",1197157002,"AUTORISER UNE DÉPENSE ADDITIONNELLE DE 1 341 973,81 $ (TAXES INCLUSES) AFIN D'EXERCER LA DEUXIÈME ANNÉE DE PROLONGATION  DES CONTRATS ACCORDÉS (CG18 0404) (7 SOUMISSIONNAIRES) AUX FIRMES ""SERVICE D'ENTRETIEN ALPHANET INC."", ""COFORCE INC."" ET ""AXIA SERVICES INC. (""LES SERVICES ADAPTÉS TRANSIT INC."") POUR LE SERVICE D'ENTRETIEN MÉNAGER DE DIVERS BÂTIMENTS DE LA VILLE DE MONTRÉAL, POUR UNE PÉRIODE DE 12 MOIS À COMPTER DU 1ER NOVEMBRE 2019, MAJORANT AINSI LE MONTANT TOTAL DU CONTRAT DE 1 118 382,63 $, TAXES INCLUSES À 2 460 356,44 $ TAXES INCLUSES","CG19 0346",2019-08-23,"865366"
"AXIA SERVICES INC. (""LES SERVICES ADAPTÉS TRANSIT INC."")","5,84% VILLE 94,16% ARR","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","DIRECTION - OPTIMISATION_SÉCURITÉ ET PROPRETÉ",1197157002,"AUTORISER UNE DÉPENSE ADDITIONNELLE DE 1 341 973,81 $ (TAXES INCLUSES) AFIN D'EXERCER LA DEUXIÈME ANNÉE DE PROLONGATION  DES CONTRATS ACCORDÉS (CG18 0404) (7 SOUMISSIONNAIRES) AUX FIRMES ""SERVICE D'ENTRETIEN ALPHANET INC."", ""COFORCE INC."" ET ""AXIA SERVICES INC. (""LES SERVICES ADAPTÉS TRANSIT INC."") POUR LE SERVICE D'ENTRETIEN MÉNAGER DE DIVERS BÂTIMENTS DE LA VILLE DE MONTRÉAL, POUR UNE PÉRIODE DE 12 MOIS À COMPTER DU 1ER NOVEMBRE 2019, MAJORANT AINSI LE MONTANT TOTAL DU CONTRAT DE 1 118 382,63 $, TAXES INCLUSES À 2 460 356,44 $ TAXES INCLUSES","CG19 0346",2019-08-23,"134713"
"COFORCE INC.","90,52% AGGLO 9,48% VILLE","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","DIRECTION - OPTIMISATION_SÉCURITÉ ET PROPRETÉ",1197157003,"EXERCER LA DEUXIÈME ANNÉE D'OPTION DE PROLONGATION DU CONTRAT ACCORDÉ (CG18 0403) (5 SOUMISSIONNAIRES) AUX FIRMES ""COFORCE INC."" ET ""SERVICE D'ENTRETIEN MÉNAGER VIMONT INC."" POUR LE SERVICE D'ENTRETIEN MÉNAGER DE DIVERS BÂTIMENTS MUNICIPAUX INCLUANT DU SERVICE DE POLICE DE LA VILLE DE MONTRÉAL (SPVM), POUR UNE PÉRIODE DE 12 MOIS À COMPTER DU 1ER NOVEMBRE 2019, MAJORANT AINSI LE MONTANT TOTAL DU CONTRAT DE 2 303 975,99 $, TAXES INCLUSES À 3 811 222,62 $, TAXES INCLUSES","CG19 0344",2019-08-23,"1013101"
"SERVICE D'ENTRETIEN MÉNAGER VIMONT INC.","90,52% AGGLO 9,48% VILLE","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","DIRECTION - OPTIMISATION_SÉCURITÉ ET PROPRETÉ",1197157003,"EXERCER LA DEUXIÈME ANNÉE D'OPTION DE PROLONGATION DU CONTRAT ACCORDÉ (CG18 0403) (5 SOUMISSIONNAIRES) AUX FIRMES ""COFORCE INC."" ET ""SERVICE D'ENTRETIEN MÉNAGER VIMONT INC."" POUR LE SERVICE D'ENTRETIEN MÉNAGER DE DIVERS BÂTIMENTS MUNICIPAUX INCLUANT DU SERVICE DE POLICE DE LA VILLE DE MONTRÉAL (SPVM), POUR UNE PÉRIODE DE 12 MOIS À COMPTER DU 1ER NOVEMBRE 2019, MAJORANT AINSI LE MONTANT TOTAL DU CONTRAT DE 2 303 975,99 $, TAXES INCLUSES À 3 811 222,62 $, TAXES INCLUSES","CG19 0344",2019-08-23,"494146"
"ST-DENIS THOMPSON INC.","43,71% AGGLO 56,29% VILLE","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","DIRECTION DE LA GESTION DE PROJETS IMMOBILIERS",1197737005,"ACCORDER UN CONTRAT DE CONSTRUCTION À ST-DENIS THOMPSON INC. POUR RÉALISER LES TRAVAUX DE CONSTRUCTION DU LOT L0803 « NOUVELLES FENÊTRES DE BOIS » FAISANT PARTIE DU PROJET DE RESTAURATION PATRIMONIALE ET DE MISE AUX NORMES DE L’HÔTEL DE VILLE – DÉPENSE TOTALE DE 1 374 919,34$  TAXES INCLUSES - APPEL D'OFFRES PUBLIC IMM-15431 (1 SOUM.)                                                                                                                                              ","CG19 0384",2019-08-26,"1374919"
"CONSTRUCTION ARCADE","100% AGGLO","SERVICE DE L'EAU","DIRECTION DE L'EAU POTABLE",1197909003,"ACCORDER UN CONTRAT À CONSTRUCTION ARCADE POUR LA RÉFECTION D'UNE CHAMBRE DE VANNES DE 1200 MM DE DIAMÈTRE SUR L'AVENUE LINCOLN À L'ANGLE DE LA RUE LAMBERT-CLOSSE, ARRONDISSEMENT VILLE-MARIE - DÉPENSE TOTALE DE 622 440,01 $, TAXES INCLUSES - APPEL D'OFFRES PUBLIC NO 10307 (3 SOUMISSIONNAIRES)","CG19 0368",2019-08-23,"622440"
"PLACE VERSAILLES INC.","100% AGGLO","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","DIRECTION - TRANSACTIONS IMMOBILIÈRES",1198042006,"APPROUVER LA ONZIÈME CONVENTION DE PROLONGATION DU BAIL PAR LAQUELLE LA VILLE LOUE DE PLACE VERSAILLES INC., DES ESPACES À BUREAUX SITUÉS À LA TOUR DU TRIANON, BUREAU 318, D'UNE SUPERFICIE APPROXIMATIVE DE 1 530 PI² POUR LES BESOINS DU SERVICE DE POLICE DE LA VILLE DE MONTRÉAL, POUR UN TERME D'UN AN, SOIT DU 1ER JUILLET 2019 AU 30 JUIN 2020. LA DÉPENSE TOTALE EST DE 33 423,23 $, INCLUANT LES TAXES APPLICABLES. BÂTIMENT 3670.","CG19 0380",2019-08-26,"33423"
"SOLOTECH INC.","50,08% AGGLO 49,92% VILLE","SERVICE DES TECHNOLOGIES DE L'INFORMATION","DIRECTION CENTRE D'EXPERTISE - ESPACE DE TRAVAIL",1198113004,"AUTORISER UNE DÉPENSE ADDITIONNELLE DE 180 215,67 $, INCLUANT LES CONTINGENCES ET UNE VARIATION DE QUANTITÉ DE L'ORDRE DE 15,2% POUR LA FOURNITURE, L'INSTALLATION ET LA CONFIGURATION D'ÉQUIPEMENTS DE CAPTATION VIDÉO POUR LA SALLE PETER-MCGILL ET LA SALLE DU CONSEIL MUNICIPAL RELOCALISÉES À L'ÉDIFICE LUCIEN-SAULNIER, DANS LE CADRE DU CONTRAT OCTROYÉ À SOLOTECH INC. (CG19 0083), LE TOUT MAJORANT AINSI LE MONTANT TOTAL DU CONTRAT DE 1 182 997,32 $ À 1 363 212,99 $, TAXES INCLUSES","CG19 0362",2019-08-23,"180215,67"
"CIMA+ S.E.N.C","ENTENTE-CADRE","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","DIRECTION DE LA GESTION DE PROJETS IMMOBILIERS",1198304008,"CONCLURE UNE (1) ENTENTE-CADRE AVEC CIMA+ S.E.N.C, D'UNE DURÉE DE 36 MOIS, AVEC POSSIBILITÉ D'UNE PROLONGATION DE 12 MOIS, POUR LA FOURNITURE DE SERVICES PROFESSIONNELS DE CONTRÔLEURS DE CHANTIER POUR DIVERS PROJETS DANS LA DIVISION DES PROJETS INDUSTRIELS (LOT 4) DE LA DIRECTION DE LA GESTION DES PROJETS IMMOBILIERS. DÉPENSE TOTALE DE 1 185 294,75 $ (CONTRAT : 1 030 691,09 $ + CONTINGENCES : 154 603,66 $), TAXES INCLUSES. APPEL D'OFFRES PUBLIC #19-17579 - (2) SOUMISSIONNAIRES. ","CG19 0391",2019-08-26,"1185295"
"PROCOVA INC.","100% AGGLO","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","DIRECTION DE LA GESTION DE PROJETS IMMOBILIERS",1198304009,"ACCORDER UN CONTRAT À L’ENTREPRISE PROCOVA INC. POUR LES TRAVAUX DE RÉFECTION DE LA TOITURE ET REMPLACEMENT DES UNITÉS DE VENTILATION DU POSTE DE QUARTIER N°39 SITUÉE AU 6100 BOUL. HENRI-BOURASSA EST, DANS L'ARRONDISSEMENT MONTRÉAL-NORD. AUTORISER UNE DÉPENSE TOTALE DE 812 367,36 $ (CONTRAT : 588 672,00 $ + CONTINGENCES : 88 300,80 $ + INCIDENCES : 135 394,56 $), TAXES INCLUSES. APPEL D'OFFRES PUBLIC IMM-14149, 2 SOUMISSIONNAIRES.","CG19 0369",2019-08-23,"812367"
"SST CONSULTANT. INC.","100% AGGLO","SERVICE DE L'EAU","DIRECTION DE L'EAU POTABLE",1198375001,"ACCORDER UN CONTRAT À SST CONSULTANT INC., POUR LA FOURNITURE SUR DEMANDE DE SERVICES DE SURVEILLANCE EN SANTÉ ET SÉCURITÉ SUR LES CHANTIERS DE LA DIRECTION DE L'EAU POTABLE (DEP), POUR UNE PÉRIODE DE QUATRE ANS POUR UNE SOMME MAXIMALE DE 5 096 335,86 $, TAXES INCLUSES - APPEL D'OFFRES PUBLIC (19-17558) - (1 SOUMISSIONNAIRE)","CG19 0389",2019-08-26,"5096336"
"TRANSPORT LACOMBE","100% AGGLO","SERVICE DE L'EAU","DIRECTION DE L'EAU POTABLE",1198378001,"ACCORDER UN CONTRAT À TRANSPORT LACOMBE INC. POUR LA FOURNITURE DE SERVICES DE DÉMÉNAGEMENT, POUR UNE PÉRIODE DE SEIZE (16) MOIS, POUR UNE SOMME MAXIMALE DE 253 100,22 $, TAXES INCLUSES - APPEL D'OFFRES PUBLIC 19-17425 - 1 SOUMISSIONNAIRE- DÉPENSE TOTALE 291 065,25 $ TAXES INCLUSES (CONTRAT ET CONTINGENCES)","CG19 0347",2019-08-23,"253100"
"INFORMATIQUE PRO-CONTACT INC.","ENTENTE-CADRE","SERVICE DES TECHNOLOGIES DE L'INFORMATION","DIRECTION CENTRE D'EXPERTISE - PLATEFORMES ET INFRASTRUCTURE",1198410001,"CONCLURE 2 ENTENTES-CADRES, D'UNE DURÉE DE 3 ANS, AVEC INFORMATIQUE PRO-CONTACT INC. ET 3686035 CANADA INC. (IMAGES ET TECHNOLOGIES), POUR LA FOURNITURE DE SERVEURS EN LAME UCS (LOT 1) ET STOCKAGE DE MASSE (LOT 2) - INFORMATIQUE PRO-CONTACT INC.: 1 722 953,26 $ (LOT  1) -  3686035 CANADA INC. 1 387 041,15 $ (LOT 2), TAXES INCLUSES - APPEL D'OFFRES PUBLIC 19-17596 (2 SOUMISSIONNAIRES)  ","CG19 0358",2019-08-23,"1722953"
"3686035 CANADA INC. (IMAGES ET TECHNOLOGIES)","ENTENTE-CADRE","SERVICE DES TECHNOLOGIES DE L'INFORMATION","DIRECTION CENTRE D'EXPERTISE - PLATEFORMES ET INFRASTRUCTURE",1198410001,"CONCLURE 2 ENTENTES-CADRES, D'UNE DURÉE DE 3 ANS, AVEC INFORMATIQUE PRO-CONTACT INC. ET 3686035 CANADA INC. (IMAGES ET TECHNOLOGIES), POUR LA FOURNITURE DE SERVEURS EN LAME UCS (LOT 1) ET STOCKAGE DE MASSE (LOT 2) - INFORMATIQUE PRO-CONTACT INC.: 1 722 953,26 $ (LOT  1) -  3686035 CANADA INC. 1 387 041,15 $ (LOT 2), TAXES INCLUSES - APPEL D'OFFRES PUBLIC 19-17596 (2 SOUMISSIONNAIRES)  ","CG19 0358",2019-08-23,"1387041"
"BRENNAN-DUKE","DÉPENSE MIXTE D'ADMINISTRATION GÉNÉRALE","SERVICE DES TECHNOLOGIES DE L'INFORMATION","DIRECTION CENTRE D'EXPERTISE - PLATEFORMES ET INFRASTRUCTURE",1198410002,"D'AUTORISER UNE DÉPENSE MAXIMALE DE 450 000 $, TAXES INCLUSES, AFIN DE REMBOURSER LA SOCIÉTÉ EN COMMANDITE BRENNAN-DUKE POUR LES TRAVAUX DE RÉAMÉNAGEMENT DU CENTRE DE DONNÉES (CG08 0334), SITUÉ AU 2E ÉTAGE DU 801, RUE BRENNAN, POUR AUGMENTER LA CAPACITÉ ÉLECTROGÈNE VISANT À ACCUEILLIR LES SERVEURS DE LA VILLE ACTUELLEMENT LOGÉS AU 275, AVENUE VIGER EST","CG19 0377",2019-08-26,"450000"
"ESRI CANADA","100% AGGLO","SERVICE DES TECHNOLOGIES DE L'INFORMATION","DIRECTION SOLUTIONS D'AFFAIRES - SÉCURITÉ PUBLIQUE ET JUSTICE",1190206002,"ACCORDER UN CONTRAT DE GRÉ À GRÉ À ESRI CANADA LTÉE (FOURNISSEUR EXCLUSIF), POUR LA MISE À JOUR D’ARCGIS SERVER VERS LA VERSION ADVANCED, L'ACQUISITION DE GEOEVENT SERVER ET POUR LE CONTRAT D'ENTRETIEN POUR LA PÉRIODE DU 1ER OCTOBRE 2020 AU 30 SEPTEMBRE 2023 POUR LE SERVICE DE POLICE DE LA VILLE DE MONTRÉAL (SPVM), POUR UNE SOMME MAXIMALE DE 251 036,42 $, TAXES INCLUSES.","CG19 0421",2019-09-20,"251026"
"ARCHIPEL ARCHITECTURE","100% AGGLO","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","DIRECTION DE LA GESTION DE PROJETS IMMOBILIERS",1190805003,"CONCLURE UNE ENTENTE CADRE AVEC ARCHIPEL ARCHITECTURE, SDK ET ASSOCIÉS INC., BOUTHILLETTE PARIZEAU INC. ET MARCHAND HOULE ET ASSOCIÉS INC., D'UNE DURÉE DE 48 MOIS, AVEC POSSIBILITÉ D'UNE PROLONGATION DE 12 MOIS, POUR LA FOURNITURE DE SERVICES PROFESSIONNELS EN ARCHITECTURE ET INGÉNIERIE POUR LA RÉALISATION DES PLANS ET DEVIS AINSI QUE L'ACCOMPAGNEMENT DURANT LES CHANTIERS POUR DIVERS PROJETS DANS LA DIVISION DE LA SÉCURITÉ PUBLIQUE ET D'ESPACE POUR LA VIE (LOT 3 - PROJETS DU SERVICE DES INCENDIES) DE LA DIRECTION DE LA GESTION DES PROJETS IMMOBILIERS. DÉPENSE TOTALE DE 5 441 543,07 $ (CONTRAT: 4 731 776,58 $ + CONTINGENCES: 709 766,49 $), TAXES INCLUSES. APPEL D'OFFRES PUBLIC 19-17253 - 3 SOUMISSIONNAIRES","CG19 0404",2019-09-20,"5441543"
"GROUPE MARCHAND ARCHITECTURE ET DESIGN","100% AGGLO","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","DIRECTION DE LA GESTION DE PROJETS IMMOBILIERS",1190805004,"CONCLURE UNE ENTENTE CADRE AVEC GROUPE MARCHAND ARCHITECTURE ET DESIGN ET LES SERVICES EXP INC. D'UNE DURÉE DE 48 MOIS, AVEC POSSIBILITÉ D'UNE PROLONGATION DE 12 MOIS, POUR LA FOURNITURE DE SERVICES PROFESSIONNELS EN ARCHITECTURE ET INGÉNIERIE POUR LA RÉALISATION DES PLANS ET DEVIS AINSI QUE L'ACCOMPAGNEMENT DURANT LES CHANTIERS POUR DIVERS PROJETS DANS LA DIVISION DE LA SÉCURITÉ PUBLIQUE ET D'ESPACE POUR LA VIE (LOT 4 - PROJETS DU SERVICE DES INCENDIES)  DE LA DIRECTION DE LA GESTION DES PROJETS IMMOBILIERS. DÉPENSE TOTALE DE 5 489 071.92 $ (CONTRAT: 4 773 106,01 $ + CONTINGENCE: 715 965,90 $), TAXES INCLUSES. APPEL D'OFFRES PUBLIC 19-17253 - 2 SOUMISSIONNAIRES CONFORMES","CG19 0436",2019-09-20,"5489071"
"PROCOVA INC.","50,1% AGGLO 49,9% VILLE","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","DIRECTION DE LA GESTION DE PROJETS IMMOBILIERS",1191029004,"ACCORDER UN CONTRAT À PROCOVA INC., POUR LA RÉFECTION DE LA DALLE DU MAGASIN DU GARAGE DES CARRIÈRES ET TRAVAUX CONNEXES (0113) - DÉPENSE TOTALE DE 764 583,75 $, TAXES INCLUSES - APPEL D'OFFRES PUBLIC IMM-15491 - 5 SOUMISSIONS.","CG19 0414",2019-09-20,"764583,75"
"TRANE CANADA ULC","100% AGGLO","SERVICE DE L'EAU","DIRECTION DE L'ÉPURATION DES EAUX USÉES",1193438016,"ACCORDER UN CONTRAT À TRANE CANADA ULC, POUR LA FOURNITURE ET LA LIVRAISON D'UN REFROIDISSEUR D'EAU À COMPRESSEUR CENTRIFUGE DE 720 TONNES DE RÉFRIGÉRATION POUR LA STATION D'ÉPURATION DES EAUX USÉES JEAN-R.-MARCOTTE POUR UNE SOMME MAXIMALE DE 541 762,20 $, TAXES INCLUSES - AUTORISER UNE DÉPENSE TOTALE DE 568 850,31 $, TAXES INCLUSES (CONTRAT : 541 762,20 $, CONTINGENCES : 27 088,11 $) -  APPEL D'OFFRES PUBLIC NO 19-17699 - (1 SOUMISSIONNAIRE) ","CG19 0412",2019-09-20,"568850,31"
"JALBEC INC.","100% AGGLO","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","DIRECTION - TRANSACTIONS IMMOBILIÈRES",1194565008,"APPROUVER LA PREMIÈRE CONVENTION DE RENOUVELLEMENT DU BAIL PAR LEQUEL LA VILLE DE MONTRÉAL LOUE DU LOCATEUR JALBEC INC., UN GARAGE SITUÉ AU 2350, RUE DICKSON À MONTRÉAL, POUR LES BESOINS DU CENTRE D'EXPERTISE DU SERVICE DE POLICE DE LA VILLE DE MONTRÉAL POUR UN TERME DE 5 ANS, SOIT DU 1ER JANVIER 2020 AU 31 DÉCEMBRE 2024. LA DÉPENSE TOTALE EST DE 289 646,46 $, INCLUANT LES TAXES. BÂTIMENT 8014-009.","CG19 0427",2019-09-20,"289646"
"CIUSSS DE L'OUEST-DE-L'ÎLE-DE-MONTRÉAL","100% AGGLO","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","DIRECTION - TRANSACTIONS IMMOBILIÈRES",1194565010,"EXERCER LA DEUXIÈME ET DERNIÈRE OPTION DE RENOUVELLEMENT DE BAIL PAR LEQUEL LA VILLE DE MONTRÉAL LOUE DE CIUSSS DE L'OUEST-DE-L'ÎLE-DE-MONTRÉAL, DES ESPACES SUR LE TOIT DE L'HÔPITAL SAINTE-ANNE, SITUÉ AU 305, BOULEVARD DES ANCIENS-COMBATTANTS À SAINTE-ANNE-DE-BELLEVUE, POUR DES ÉQUIPEMENTS DE RADIOCOMMUNICATION DE LA VILLE, POUR UNE DURÉE DE CINQ ANS, À COMPTER DU 1ER DÉCEMBRE 2017 AU 30 NOVEMBRE 2022, POUR UN LOYER TOTAL DE 219 455,54 $, TAXES INCLUSES (4105-01)","CG19 0405",2019-09-20,"219456"
"JACQUES OLIVIER FORD INC.","100% AGGLO","SERVICE DU MATÉRIEL ROULANT ET DES ATELIERS","DIRECTION",1194922014,"ACCORDER UN CONTRAT À « JACQUES OLIVIER FORD INC.», POUR LA FOURNITURE DE 65 VÉHICULES DE PATROUILLE DE MARQUE ET MODÈLE FORD POLICE INTERCEPTOR POUR UNE SOMME MAXIMALE DE 3 522 874,24 $, TAXES INCLUSES -  APPEL D’OFFRES PUBLIC 19-17665 (4 SOUM.).","CG19 0420",2019-09-20,"3522874"
"KELENY INC.","100% AGGLO","SERVICE DES AFFAIRES JURIDIQUES","DIRECTION DES SERVICES JUDICIAIRES",1195304001,"OCTROYER UN CONTRAT DE SERVICES À KELENY INC. POUR LA FOURNITURE DE SERVICES PROFESSIONNELS D'INTERPRÈTES ET DE TRADUCTEURS JUDICIAIRES REQUIS À LA COUR MUNICIPALE DE LA VILLE DE MONTRÉAL DANS LE CADRE DE SES ACTIVITÉS POUR LA SOMME MAXIMALE DE 999 949,07 $, TAXES INCLUSES, COUVRANT LA PÉRIODE DU 20 SEPTEMBRE 2019 AU 19 SEPTEMBRE 2020 - APPEL D'OFFRES PUBLIC 19-17733 (1 SEUL SOUMISSIONNAIRE).","CG19 0438",2019-09-20,"999949,07"
"EXCAVATIONS VIDOLO LIMITÉE","100% AGGLO","SERVICE DE L'ENVIRONNEMENT","DIRECTION DE LA GESTION DES MATIÈRES RÉSIDUELLES",1195308002,"ACCORDER UN CONTRAT À EXCAVATIONS VIDOLO LIMITÉE AU MONTANT DE 9 284 453 $ TAXES INCLUSES, POUR LA FOURNITURE ET LE TRANSPORT DE MATIÈRES PAR CONTENEUR POUR CINQ (5) ÉCOCENTRES, SOIT ACADIE, CÔTE-DES-NEIGES, PETITE-PATRIE, RIVIÈRE-DES-PRAIRIES ET SAINT-MICHEL, POUR UNE PÉRIODE DE 35 MOIS - APPEL D'OFFRES PUBLIC 19-17687 (2 SOUMISSIONNAIRES). AUTORISER UN AJUSTEMENT RÉCURRENT À LA BASE BUDGÉTAIRE DU SERVICE DE L'ENVIRONNEMENT DE 1 321 182 $ EN 2020, DE 1 403 385 $ POUR 2021, DE 1 481 183 $ EN 2022. AJUSTEMENT TOTAL DE 4 205 750 $. ","CG19 0432",2019-09-20,"9284453"
"ST-DENIS THOMPSON INC.","100% AGGLO","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","DIRECTION DE LA GESTION DE PROJETS IMMOBILIERS",1195895001,"AUTORISER UN TRANSFERT DE 172 462,50 $, TAXES INCLUSES, DES DÉPENSES INCIDENTES AUX DÉPENSES CONTINGENTES ET AUTORISER UNE DÉPENSE ADDITIONNELLE DE 60 079,07 $, TAXES INCLUSES, AUX DÉPENSES CONTINGENTES, POUR COMPLÉTER LES TRAVAUX DE RÉFECTION DU MURET PÉRIMÉTRIQUE ET AJOUT D’UNE 2E ISSUE À LA STATION DE POMPAGE VINCENT D’INDY, DANS LE CADRE DU CONTRAT ACCORDÉ À LA FIRME ST-DENIS THOMPSON INC. (CG18 0424), MAJORANT AINSI LE MONTANT TOTAL DU CONTRAT DE 2  883 795,13 $ À 3 116 336,70 $, TAXES INCLUSES","CG19 0403",2019-09-20,"232541,57"
