REGION_ADMINISTRATIVE,ETABLISSEMENT,ETABLISSEMENT_PARTENAIRE,ANNEE_FINANCIERE,PROGRAMME,VOLET,RESPONSABLE_DU_PROJET,TITRE,RESEAU,MONTANT_MES,MONTANT_MSSS,MONTANT_MEI,MONTANT_TOTAL_QUEBEC,COUT_TOTAL,SECTEUR,DOMAINE_STRATEGIQUE,DOMAINE_PRIMAIRE,DISCIPLINE_PRIMAIRE
"Montréal","Université du Québec à Montréal (UQAM)","","2017-2018","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Joshua BYERS","Les processus dynamiques des interfaces des nanomatériaux","MEES",47200,,,47200,118000,"Sciences naturelles et génie","Nanosciences et nanotechnologies","Sources d'énergie renouvelables","Chimie physique"
"Montréal","École de technologie supérieure (ETS)","","2017-2018","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Nicole DEMARQUETTE","Nanofibres et nanosphères polymériques fonctionnelles obtenues par électrofilage à échelle semi-industrielle","MEES",132759,,,132759,331898,"Sciences naturelles et génie","Nanosciences et nanotechnologies","Production et technologie industrielles","Science et technologie des matériaux"
"Capitale-Nationale","Université Laval","CIUSSS de la Capitale-Nationale - Institut universitaire en santé mentale de Québec - Centre de recherche","2017-2018","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Christophe PROULX","Étude des voies neuronales sous-jacentes au traitement des émotions dans des états normaux et pathologiques: de la molécule au comportement","MSSS",,119993,,119993,300174,"Santé","Optique-photonique","Autre recherche","Neurosciences"
"Montréal","Université McGill","","2017-2018","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Jianguo XIA","Plateforme de métabolomique des systèmes pour étudier les interactions gènes-environnement-microbiome (GEM)","MEES",194454,,,194454,491060,"Sciences naturelles et génie","Biotechnologies (génomique, protéomique, bioinformatique)","Santé","Multidisciplinaire en SNG"
"Chaudière-Appalaches","Cégep de Thetford","Coalia","2018-2019","Fonds collège-industrie pour l'innovation","Volet 2 - Infrastructure de recherche associée à une demande de subvention d'ICC-RI","Caroline Chouinard","Technologies innovantes pour l'industrie extractive dans une perspective géométallurgique","MEES",362120,,,362120,905279,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Production et technologie industrielles","Sciences naturelles et Génie (SNG)"
"Montréal","Université Concordia","","2016-2017","Fonds des leaders John-R.-Evans","Indépendant - chercheur senior - recrutement","Alex DE VISSCHER","Génie des procédés chimiques dans un monde d'énergies renouvelables","MEES",115000,,,115000,328800,"Sciences naturelles et génie","Énergie","Produits de l'industrie chimique","Sciences naturelles et Génie (SNG)"
"Montréal","Université Concordia","","2016-2017","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Alireza NAZEMI","Une plate-forme multi-capteur pour la quantification des impacts terrestres atmosphériques des réservoirs artificiels","MEES",100000,,,100000,250097,"Sciences naturelles et génie","Environnement et science du climat","Hydrologie","Hydrologie"
"Montréal","Université de Montréal","","2016-2017","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Bob WHITE","Plateforme d'études de recherche sur les relations interculturelles (PERRI)","MEES",156055,,,156055,390137,"Sciences sociales et humaines","TIC (télécommunications, multimédia, logiciels, services informatiques)","Structures et relations sociales","Anthropologie"
"Montréal","Université McGill","","2017-2018","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Mathieu ROY","Chaire de recherche du Canada en imagerie cérébrale de la douleur expérimentale et de la douleur chronique","MEES",77600,,,77600,198661,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Médecine préventive","Neurosciences"
"Montréal","Université McGill","","2017-2018","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Tomoko OYAMA","Mécanismes des circuits neuronaux à la base de la sélection d'action","MEES",219800,,,219800,549555,"Sciences naturelles et génie","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches médicales, traitement hospitalier, chirurgie","Neurosciences"
"Montréal","École Polytechnique de Montréal","","2017-2018","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Eric LAURENDEAU","Chaire de recherche du Canada en modélisation et contrôle d'effets aérodynamiques instationnaires d'avions","MEES",98325,,,98325,280928,"Sciences naturelles et génie","Aérospatiale","Construction de véhicules à moteur (+ autres transports)","Mécanique des fluides"
"Montréal","Université du Québec à Montréal (UQAM)","","2017-2018","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Lucie MÉNARD","Infrastructure pour l'étude du développement de la parole","MEES",70000,,,70000,210028,"Sciences sociales et humaines","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Linguistique"
"Montréal","Université McGill","","2017-2018","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Sharmistha BHADRA","Laboratoire de recherche en électronique imprimable et flexible","MEES",67677,,,67677,169193,"Sciences naturelles et génie","Micro-électronique","Industries électroniques et connexes","Génie électrique et électronique"
"Montréal","Université de Montréal","","2017-2018","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Davide BRAMBILLA","Conception et fabrication de microaiguilles polymériques pour des applications biomédicales","MEES",120554,,,120554,301385,"Santé","Biopharmaceutique","Produits pharmaceutiques","Recherches multidisciplinaires en santé"
"Capitale-Nationale","Université Laval","Institut universitaire de cardiologie et de pneumologie de Québec (CRIUCPQ) - Centre de recherche","2017-2018","Fonds des leaders John-R.-Evans","Indépendant - chercheur senior - recrutement","Vincenzo DI MARZO","Étude du rôle de l'axe microbiome intestinal - endocannabinoidome dans la santé métabolique et son exploitation thérapeutique","MEES,MSSS",123837,670131,,793968,1984920,"Santé","Biotechnologies (génomique, protéomique, bioinformatique)","Génie biomédical et pharmacologie","Biochimie"
"Capitale-Nationale","Université Laval","","2017-2018","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Pierre BLANCHET","Laboratoire en ingénierie de la sécurité incendie","MEES",100000,,,100000,425000,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Construction et aménagement des bâtiments","Sciences naturelles et Génie (SNG)"
"Capitale-Nationale","Institut national de la recherche scientifique (INRS)","","2017-2018","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Valérie LANGLOIS","Centre de recherche en écotoxicogénomique","MEES",221213,,,221213,553034,"Sciences naturelles et génie","Environnement et science du climat","Pollution et protection de l'environnement","Physiologie"
"Mauricie","Université du Québec à Trois-Rivières (UQTR)","","2017-2018","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Shari FORBES","Chaire de recherche Canada 150 en thanatologie criminalistique","MEES",184054,,,184054,460135,"Sciences naturelles et génie","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches à caractère général et autres recherches médicales","Chimie analytique"
"Montréal","Université McGill","","2017-2018","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Gil BUB","Imagerie et contrôle de la stimulation cardiaque","MEES",207500,,,207500,523267,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Fabrication de tout autre type d'instrument","Physiologie"
"Estrie","Université de Sherbrooke","","2017-2018","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","François-Michel BOISVERT","Médecine de précision: un spectromètre de masse pour la découverte de nouveaux biomarqueurs protéiques dans le cancer et les maladies","MEES",621605,,,621605,1583499,"Santé","Biotechnologies (génomique, protéomique, bioinformatique)","Recherches médicales, traitement hospitalier, chirurgie","Biochimie"
"Capitale-Nationale","Institut national de la recherche scientifique (INRS)","","2017-2018","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Kessen Shunmoogum PATTEN","Infrastructure pour étudier les mécanismes du dysfonctionnement synaptique dans les maladies du motoneurone","MEES",148568,,,148568,371421,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Neurosciences"
"Montréal","Université Concordia","","2018-2019","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Tristan GLATARD","Chaire de recherche du Canada sur les infrastructures pour les mégadonnées en neuro-informatique","MEES",100000,,,100000,251773,"Sciences naturelles et génie","TIC (télécommunications, multimédia, logiciels, services informatiques)","Recherches médicales, traitement hospitalier, chirurgie","Technologie de l'information: informatique"
"Montréal","Université Concordia","","2018-2019","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Yann-Gaël GUÉHÉNEUC","Chaire de recherche du Canada en génie logiciel empirique pour l'Internet des objets","MEES",107053,,,107053,267632,"Sciences naturelles et génie","TIC (télécommunications, multimédia, logiciels, services informatiques)","Développement de logiciels","Technologie de l'information: informatique"
"Montréal","Université de Montréal","","2019-2020","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Jean-Pierre CHUPIN","Chaire de recherche du Canada en architecture, concours et médiations de l'excellence","MEES",293048,,,293048,732621,"Sciences sociales et humaines","Arts, littérature, cultures et société (création artistique et littéraire, religions, civilisations)","Infrastructure et aménagement du territoire (rech. générale)","Recherche-création en architecture"
"Montérégie","Cégep de Sorel-Tracy","Centre de transfert technologique en écologie industrielle (CTTEI)","2018-2019","Fonds collège-industrie pour l'innovation","Volet 1 - Infrastructure de recherche","Jean-François Vermette","Les fluides supercritiques appliqués aux problématiques environnementales : nouveau laboratoire pilote à Sorel-Tracy","MEES",999768,,,999768,2531258,"Sciences naturelles et génie","Développement durable et technologies vertes","Déchets solides","Environnement"
"Capitale-Nationale","Université Laval","Centre de recherche du CHU de Québec - Centre hospitalier de l'Université Laval (CRCHUL)","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Isabelle Laverdière","Infrastructure d'immunophénotypage pour l'étude fonctionnelle de la pharmacoépigénomique de la leucémie pédiatrique","MSSS",,123402,,123402,310532,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Génie biomédical et pharmacologie","Cancer/oncologie"
"Capitale-Nationale","Université Laval","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Ilga Porth","Laboratoire de biologie des arbres et de génomique fonctionnelle des plantes à FFGG / Université Laval","MEES",80468,,,80468,201307,"Sciences naturelles et génie","Biotechnologies (génomique, protéomique, bioinformatique)","Ressources renouvelables (rech. générale)","Agronomie, foresterie"
"Capitale-Nationale","Institut national de la recherche scientifique (INRS)","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Jerome Comte","Installations avancées de recherche et de formation en écologie microbienne aquatique","MEES",154565,,,154565,401257,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Eau","Sciences naturelles et Génie (SNG)"
"Montréal","Université de Montréal","Centre de recherche du CHUM - Hôpital Notre-Dame","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur senior - recrutement","Gerardo FERBEYRE","Biologie et applications cliniques de la sénescence cellulaire","MSSS",,40000,,40000,100000,"Santé","Biotechnologies (génomique, protéomique, bioinformatique)","Santé","Cancer/oncologie"
"Montréal","Université de Montréal","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Janelle Drouin-Ouellet","Comprendre la physiopathologie de la forme sporadique de la maladie de Parkinson avec la reprogrammation cellulaire directe","MEES",121534,,,121534,310960,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches à caractère général et autres recherches médicales","Neurosciences"
"Montréal","Université de Montréal","Institut de cardiologie de Montréal (ICM)","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Louis BHERER","Plateforme intégrée d'imagerie neurovasculaire cérébrale","MSSS",,100000,,100000,322809,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Santé des populations et services de santé"
"Montréal","Université de Montréal","","2019-2020","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Mariela SEGURA","Chaire de recherche du Canada en immunoglycobiologie des maladies infectieuses","MEES",175266,,,175266,438166,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Immunologie"
"Montréal","Université McGill","","2019-2020","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Sergio BURGOS","Laboratoire sur la nutrition et la durabilité environnementale des bovins laitiers","MEES",140000,,,140000,355211,"Sciences naturelles et génie","Agroalimentaire","Agriculture","Nutrition"
"Capitale-Nationale","Université Laval","Centre de recherche du CHU de Québec - Centre hospitalier de l'Université Laval (CRCHUL)","2019-2020","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Anne-Sophie Morisset","Évaluation nutritionnelle et métabolique durant la grossesse : vers une meilleure santé des générations futures","MSSS",,83302,,83302,236078,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Hygiène alimentaire et nutrition","Grossesse / accouchement"
"Montréal","Université McGill","","2019-2020","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","David PLANT","Systèmes de communication à fibre optique des dix prochaines années","MEES",797750,,,797750,1994393,"Sciences naturelles et génie","TIC (télécommunications, multimédia, logiciels, services informatiques)","Systèmes de télécommunications","Génie électrique et électronique"
"Montréal","Université de Montréal","","2019-2020","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Marylise Duperthuy","Infrastructure pour l’analyse des interactions bactériennes avec des pathogènes","MEES",145315,,,145315,383876,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches à caractère général et autres recherches médicales","Microbiologie"
"Montréal","Université de Montréal","","2019-2020","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Marie-Ève Daspe","Laboratoire d'observation sur le bien-être relationnel et sexuel","MEES",198411,,,198411,496028,"Sciences sociales et humaines","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Structures et relations sociales","Comportement et psychologie humaine"
"Capitale-Nationale","Université Laval","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Céline VANEECKHAUTE","Laboratoire sur la qualité par la conception en ingénierie des bioproduits (BIO-QpC)","MEES",100031,,,100031,253817,"Sciences naturelles et génie","Développement durable et technologies vertes","Ressources renouvelables: production et technologies","Génie de l'environnement"
"Capitale-Nationale","Université Laval","CIUSSS de la Capitale-Nationale","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Annie LeBlanc","Vers l’intégration des données probantes au service du clinicien et du patient pour des soins de haute qualité centrés sur le patient","MSSS",,116621,,116621,294495,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches à caractère général et autres recherches médicales","Recherches sur les services de santé - général"
"Montréal","Université McGill","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Jianyu Li","Infrastructure de mise au point de biomatériaux souples pour la réparation de tissus","MEES",100000,,,100000,250453,"Sciences naturelles et génie","Matériaux de pointe (métaux légers)","Génie biomédical et pharmacologie","Science et technologie des matériaux"
"Montréal","Université du Québec à Montréal (UQAM)","","2018-2019","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Julie Thériault","Chaire de recherche du Canada sur les événements météorologiques hivernaux extrêmes","MEES",91353,,,91353,228381,"Sciences naturelles et génie","Environnement et science du climat","Atmosphère et climat","Environnement"
"Montréal","Université McGill","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Jovan Nedic","Tunnel hydrodynamique à faible turbulence","MEES",164000,,,164000,481236,"Sciences naturelles et génie","Développement durable et technologies vertes","Construction de véhicules à moteur (+ autres transports)","Mécanique des fluides"
"Montréal","École Polytechnique de Montréal","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Keyhan SHESHYEKANI","Laboratoire de microréseaux","MEES",125000,,,125000,319961,"Sciences naturelles et génie","Énergie","Technique de production","Génie électrique et électronique"
"Montréal","Université McGill","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Lee Schaefer","Centre de recherche adapté à la culture en kinésiologie et en éducation physique","MEES",113954,,,113954,284885,"Sciences sociales et humaines","Arts, littérature, cultures et société (création artistique et littéraire, religions, civilisations)","Santé","Éducation"
"Montréal","Université McGill","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Nagissa Mahmoudi","Contrôles du cycle du carbone microbien dans les milieux marins : relier les processus à micro-échelle à la dynamique mondial du carbone","MEES",239875,,,239875,600034,"Sciences naturelles et génie","Environnement et science du climat","Mers et océans","Microbiologie"
"Montréal","Université McGill","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","David Langlais","Génomique fonctionnelle des réponses immunitaires","MEES",146000,,,146000,370796,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Immunologie"
"Montréal","Université de Montréal","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Jean-François LAPIERRE","Plate-forme de terrain et de laboratoire pour la biogéochimie aquatique","MEES",146022,,,146022,365054,"Sciences naturelles et génie","Environnement et science du climat","Eau","Sciences naturelles et Génie (SNG)"
"Saguenay-Lac-Saint-Jean","Université du Québec à Chicoutimi (UQAC)","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Pascal SIROIS","Laboratoire de sclérochronologie des poissons","MEES",63977,,,63977,159943,"Sciences naturelles et génie","Secteur maritime (sciences de la mer et technologies maritimes)","Pêche et pisciculture","Évolution et écologie"
"Estrie","Université de Sherbrooke","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Nicolas Quaegebeur","Infrastructure pour la caractérisation de sondes ultrasonores","MEES",89909,,,89909,227820,"Sciences naturelles et génie","Micro-électronique","Génie biomédical et pharmacologie","Génie mécanique"
"Montréal","Université McGill","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Songrui Zhao","Épitaxie par jets moléculaires de nanostructures et dispositifs semi-conducteurs à large intervalle de bande","MEES",180000,,,180000,450811,"Sciences naturelles et génie","Nanosciences et nanotechnologies","Fabrication des matériels et d'appareils électriques","Génie électrique et électronique"
"Capitale-Nationale","Université Laval","Centre de recherche du CHU de Québec - Hôtel-Dieu de Québec","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","François Bordeleau","Plateforme de recherche en mécanobiologie","MSSS",,119821,,119821,301508,"Santé","Biotechnologies (génomique, protéomique, bioinformatique)","Recherches à caractère général et autres recherches médicales","Biologie moléculaire et cellulaire"
"Montréal","Université de Montréal","Centre hospitalier universitaire Mère-Enfant - Hôpital Ste-Justine","2019-2020","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Andrea MACLEOD","Chaire de recherche du Canada sur les troubles d'acquisition et de communication du langage bilingue","MSSS",,27028,,27028,67572,"Sciences sociales et humaines","Arts, littérature, cultures et société (création artistique et littéraire, religions, civilisations)","Recherches à caractère général et autres recherches médicales","Linguistique"
"Estrie","Université de Sherbrooke","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","François Ferland","Robot manipulateur mobile pour le développement d'une architecture de contrôle distribuée en interaction humain-robot","MEES",76477,,,76477,193297,"Sciences naturelles et génie","TIC (télécommunications, multimédia, logiciels, services informatiques)","Production et technologie industrielles","Robotique"
"Estrie","Université de Sherbrooke","","2019-2020","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Debra Hausladen","Chaire de recherche du Canada sur les contrôles biogéochimiques de la dynamique des contaminants et du carbone dans les systèmes naturels et techniques","MEES",101875,,,101875,254694,"Sciences naturelles et génie","Environnement et science du climat","Pollution et protection de l'environnement","Génie de l'environnement"
"Montréal","Université de Montréal","Institut de cardiologie de Montréal (ICM)","2019-2020","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Patrick Lavoie","Oculométrie pour étudier les jugements cliniques des professionnels de la santé","MSSS",,78685,,78685,198912,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Sciences infirmières"
"Montréal","Université McGill","","2019-2020","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Yue Li","Apprentissage profond rapide et évolutif pour les données volumineuses sensibles dans les contextes sociaux et des soins de la santé","MEES",120000,,,120000,309276,"Sciences naturelles et génie","Calcul haute performance","Santé","Recherches multidisciplinaires en santé"
"Montréal","Université de Montréal","","2019-2020","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Thierry P. KARSENTI","Chaire de recherche du Canada sur le numérique en éducation","MEES",110440,,,110440,278640,"Sciences sociales et humaines","TIC (télécommunications, multimédia, logiciels, services informatiques)","Enseignement, formation, perfectionnement et recyclage","Éducation"
"Montréal","Université McGill","CIUSSS de l'Ouest-de-l'Île-de-Montréal - Institut universitaire en santé mentale Douglas - Centre de recherche","2019-2020","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Srividya Iyer","MAP-PRO : base de données électronique et carrefour d’apprentissage pour les services canadiens d'intervention précoce dans le traitement de la psychose","MEES,MSSS",80000,,,80000,201463,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Recherches sur les services de santé - général"
"Montréal","Université Concordia","","2019-2020","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Arseli Dokumaci","Chaire de recherche du Canada en études critiques sur le handicap et sur les technologies des médias","MEES",260000,,,260000,651955,"Sciences sociales et humaines","Arts, littérature, cultures et société (création artistique et littéraire, religions, civilisations)","Culture","Communications et études des médias"
"Montréal","Université McGill","","2019-2020","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Julien DOYON","Création d'un laboratoire de recherche multidisciplinaire sur le sommeil à l'Institut neurologique de Montréal","MEES",254296,,,254296,635741,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches à caractère général et autres recherches médicales","Neurosciences"
"Montréal","Université de Montréal","","2019-2020","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Katherine BORDEN","Vaincre la multi-résistance aux médicaments dans le cancer","MEES",275277,,,275277,688762,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Génie biomédical et pharmacologie","Cancer/oncologie"
"Montréal","Université du Québec à Montréal (UQAM)","","2019-2020","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Benjamin Deruelle","Sapientia","MEES",118500,,,118500,308805,"Sciences sociales et humaines","Arts, littérature, cultures et société (création artistique et littéraire, religions, civilisations)","Culture","Histoire"
"Montréal","Université de Montréal","","2019-2020","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Jean-François BOUCHARD","Plateforme d'imagerie 3D pour l'étude du système visuel","MEES",239325,,,239325,598312,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Neurosciences"
"Montréal","Université de Montréal","","2019-2020","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Hugo Bouchard","Spectrométrie de masse par tomodensitométrie spectrale avec le MARS","MEES",281124,,,281124,702810,"Sciences naturelles et génie","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Génie biomédical et pharmacologie","Physique"
"Montréal","École Polytechnique de Montréal","","2019-2020","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Gabriel Fabien-Ouellet","Système d'acquisition sismique autonome de haute résolution","MEES",125000,,,125000,321340,"Sciences naturelles et génie","Environnement et science du climat","Sol et nappe phréatique","Géophysique"
"Saguenay-Lac-Saint-Jean","Université du Québec à Chicoutimi (UQAC)","","2019-2020","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Issouf FOFANA","Mise à jour de l'infrastructure pour le diagnostic de l'appareillage de puissance","MEES",94008,,,94008,235019,"Sciences naturelles et génie","Énergie","Production, distribution et utilisation rationelle de l'énergie","Génie électrique et électronique"
"Montréal","Université de Montréal","Centre de recherche du CHUM","2019-2020","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Bertrand Routy","Déterminer la composition du microbiote intestinal par la culturomique pour augmenter l'efficacité de l'immunothérapie du cancer","MSSS",,110000,,110000,378828,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Cancer/oncologie"
"Montréal","Université de Montréal","Institut de recherches cliniques de Montréal (IRCM)","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Martin Sauvageau","Génomique fonctionnelle des longs ARN non codants dans les maladies humaines","MEI",,,159991,159991,399979,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches à caractère général et autres recherches médicales","Biologie moléculaire et cellulaire"
"Montréal","Université de Montréal","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Daniel Kierzkowski","Laboratoire de développement quantitatif des plantes","MEES",253886,,,253886,634716,"Sciences naturelles et génie","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Agriculture","Biologie végétale"
"Montréal","Université McGill","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Xiaozhe Wang","Infrastructure de quantification de l’incertitude pour l’analyse de la stabilité des réseaux électriques","MEES",40000,,,40000,100001,"Sciences naturelles et génie","Énergie","Production, distribution et utilisation rationelle de l'énergie","Génie électrique et électronique"
"Montréal","Université du Québec à Montréal (UQAM)","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Marc Lussier","Infrastructure pour l'analyse dynamique et quantitative des processus biologiques","MEES",141811,,,141811,378151,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Biologie moléculaire et cellulaire"
"Montréal","Université McGill","","2018-2019","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Simon GRAVEL","Chaire de recherche du Canada en génomique évolutionniste et statistique","MEES",120000,,,120000,315302,"Sciences naturelles et génie","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches à caractère général et autres recherches médicales","Génétique"
"Mauricie","Cégep de Trois-Rivières","Centre de métallurgie du Québec (CMQ)","2018-2019","Fonds collège-industrie pour l'innovation","Volet 1 - Infrastructure de recherche","Gheorghe MARIN","Développement de poudres métalliques pour les procédés et applications avancés","MEES",1000000,,,1000000,2635000,"Sciences naturelles et génie","Matériaux de pointe (métaux légers)","Fabrication et réparation de matériel aérospatial","Science et technologie des matériaux"
"Montréal","Université Concordia","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Sylvia KAIROUZ","Collaboratoire pour l’étude des jeux de hasard et d’argent numériques connectés (CHANCE)","MEES",350000,,,350000,877936,"Sciences sociales et humaines","Arts, littérature, cultures et société (création artistique et littéraire, religions, civilisations)","Autre recherche","Sociologie"
"Montréal","Université de Montréal","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Antonio NANCI","Infrastructure pour la caractérisation structurale en microscopie électronique à balayage","MEES",397672,,,397672,994179,"Santé","Biopharmaceutique","Santé","Biologie cellulaire"
"Estrie","Université de Sherbrooke","","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Mélanie Trudel","Infrastructure de terrain pour l’étude de la spatialisation de variables hydrologiques","MEES",162500,,,162500,406306,"Sciences naturelles et génie","Environnement et science du climat","Hydrologie","Hydrologie"
"Montréal","Université McGill","Centre universitaire de santé McGill (CUSM) - Campus Glen","2018-2019","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","David Labbé","Utilisation d’organoïdes dérivés de cellules de patient pour décortiquer l’impact du micro-environnement tumoral sur l’initiation et la progression du cancer","MSSS",,115397,,115397,288494,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Cancer/oncologie"
